duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
176.57605,5,-5.131,0,148.771,0.08,0.08698,169.91202,0.646,0.645,4,0.984,2018,18,0.447,0.637,0.0415,0.644,1.19e-06,0.217,0.364,176576,99.0, Macedonia
182.9185,9,-5.44,1,108.989,0.08,0.08132,175.73442,0.22,0.522,4,0.889,2018,19,0.684,0.848,0.0351,0.00774,7.91e-05,0.149,0.834,182919,125.0, Armenia
150.86862,2,-7.967,1,168.028,0.11,0.0,146.70947,0.528,0.499,4,0.998,2018,13,0.518,0.512,0.0484,0.168,0.0269,0.198,0.723,150869,29.0, Wales
152.96,8,-7.168,0,146.939,0.77,0.18585,148.96762,0.58,0.744,4,0.992,2019,69,0.832,0.59,0.272,0.446,1.43e-06,0.123,0.596,152960,181.0, Malta
178.01288,4,-7.951,0,159.806,0.44,0.75052,173.65623,0.371,0.277,4,0.98,2019,47,0.622,0.602,0.0865,0.106,0.0,0.293,0.465,178013,215.0, Poland
277.36328,2,-8.89,1,106.01,0.54,0.0,266.54767,0.499,0.295,4,0.996,2018,54,0.661,0.679,0.0535,0.379,0.000184,0.443,0.444,277363,51.0, Georgia
187.50218,5,-7.21,0,126.938,0.1,0.37705,179.04907,0.711,0.799,4,1.0,2020,21,0.569,0.478,0.0311,0.0182,0.0,0.113,0.315,187502,112.0, Slovenia
209.26694,1,-3.828,1,124.843,0.01,0.58054,204.60263,0.79,0.617,4,0.897,2016,4,0.675,0.809,0.0384,0.546,0.0,0.123,0.423,209267,34.0, Italy
173.46613,6,-5.819,1,139.682,0.29,0.0,168.33305,0.678,0.742,4,0.439,2015,17,0.485,0.529,0.0292,0.205,0.0,0.0927,0.386,173466,35.0, Netherlands
244.2,10,-3.871,1,91.996,0.24,0.40685,240.97668,0.43,0.47,4,1.0,2015,13,0.537,0.833,0.031,0.0765,0.0,0.239,0.519,244200,64.0, Australia
179.0,11,-7.907,0,86.175,0.01,0.45274,173.83038,0.718,0.659,4,0.917,2015,6,0.224,0.442,0.0328,0.829,0.0,0.246,0.13,179000,36.0, Ireland
297.18997,2,-14.631,1,87.279,0.01,4.09832,274.0419,0.675,0.751,3,0.543,2013,0,0.149,0.162,0.0306,0.501,0.917,0.103,0.0364,297190,80.0, Russia
183.42857,2,-5.831,1,140.005,0.0,0.0,177.49333,0.521,0.771,4,1.0,2019,0,0.769,0.69,0.0454,0.187,7.65e-05,0.113,0.644,183429,105.0, Belarus
235.17332,11,-4.95,0,124.461,0.71,0.28526,230.8586,0.641,0.858,4,1.0,2007,48,0.67,0.909,0.067,0.0365,0.00407,0.11,0.544,235173,176.0, Armenia
216.66667,1,-11.021,1,172.143,0.0,0.22045,197.89206,0.256,0.0,4,1.0,2007,0,0.577,0.772,0.0325,0.291,0.0117,0.0567,0.945,216667,38.0, Ukraine
211.26735,0,-5.549,1,129.968,0.03,0.0,205.18893,0.59,0.48,4,0.965,2016,7,0.569,0.69,0.031,0.0144,3.77e-05,0.346,0.322,211267,185.0, Malta
194.81541,2,-15.413,0,100.054,0.0,0.78957,191.83167,0.654,0.488,4,1.0,2018,2,0.718,0.461,0.0804,0.136,0.0,0.0722,0.586,194815,93.0, Albania
198.98666,0,-9.093,1,129.986,0.0,0.46299,191.03638,0.158,0.043,4,1.0,2010,0,0.769,0.721,0.0904,0.113,0.0,0.0551,0.837,198987,36.0, Montenegro
225.18091,9,-9.86,1,96.137,0.06,0.11651,219.02803,0.095,0.009,4,0.952,2016,5,0.36,0.711,0.038,0.000119,0.808,0.11,0.243,225181,21.0, San Marino
132.58168,7,-6.945,1,89.89,0.6,0.22739,126.62422,0.663,0.52,4,1.0,2020,60,0.693,0.393,0.036,0.427,0.0,0.15,0.529,132582,13.0, Croatia
183.70644,1,-6.677,0,127.904,0.12,2.50776,174.97977,0.456,0.4,4,1.0,2014,2,0.561,0.922,0.0589,0.0084,0.0,0.367,0.262,183706,69.0, Cyprus
180.90086,4,-7.1,1,124.901,0.46,0.0,174.43991,0.579,0.373,4,0.881,2014,6,0.622,0.567,0.031,0.779,0.0,0.134,0.329,180901,28.0, Sweden
246.84422,2,-8.229,0,167.018,0.0,3.50041,243.05489,0.371,0.335,3,0.914,2018,0,0.338,0.683,0.196,0.502,0.000612,0.634,0.473,246844,74.0, Ukraine
252.68417,9,-5.611,1,98.989,0.0,0.20907,243.94884,0.587,0.541,4,1.0,2016,0,0.595,0.62,0.031,0.39,0.000204,0.13,0.174,252684,29.0, Slovenia
218.70876,1,-14.026,0,149.974,0.0,0.09293,209.55429,0.75,0.572,4,0.984,2020,1,0.52,0.359,0.0329,0.264,0.0,0.101,0.384,218709,159.0, Italy
60.01764,11,-5.584,0,96.807,0.4,0.0,60.01764,0.296,0.252,4,0.797,2020,51,0.803,0.876,0.448,0.614,0.0,0.593,0.592,60018,146.0, Armenia
177.3913,7,-4.858,1,184.036,0.19,0.0,171.79283,0.427,0.376,4,0.897,2016,23,0.51,0.73,0.0418,0.168,0.0,0.104,0.218,177391,96.0, Russia
165.90395,11,-6.977,0,175.909,0.27,0.38866,158.30203,0.611,0.415,4,0.326,2020,15,0.574,0.606,0.107,0.619,0.0,0.151,0.504,165904,70.0, Netherlands
179.31982,5,-4.045,1,104.949,0.03,0.0,171.6361,0.498,0.549,4,0.907,2016,8,0.587,0.763,0.0403,0.153,0.0,0.109,0.356,179320,122.0, Ireland
170.19383,11,-4.196,0,110.003,0.05,0.0,163.64262,0.614,0.62,4,1.0,2016,14,0.751,0.882,0.0621,0.0642,0.0,0.14,0.687,170194,232.0, Armenia
185.75693,5,-4.96,0,98.765,0.02,0.0,177.50494,0.861,0.783,4,1.0,2016,9,0.339,0.425,0.033,0.841,4.71e-05,0.118,0.364,185757,38.0, Albania
191.19206,9,-6.94,0,81.971,0.04,0.0,185.96281,0.53,0.469,4,1.0,2016,12,0.551,0.454,0.0287,0.26,0.0,0.136,0.265,191192,202.0, Russia
180.41728,9,-4.179,1,164.036,0.04,0.33061,175.64154,0.635,0.547,4,1.0,2016,11,0.554,0.82,0.0519,0.393,0.0,0.256,0.607,180417,161.0, Bulgaria
183.0868,0,-4.248,0,103.981,0.04,0.12771,176.36136,0.769,0.766,4,1.0,2016,12,0.636,0.8,0.038,0.309,0.0,0.697,0.552,183087,41.0, Macedonia
182.44495,7,-4.457,1,119.945,0.11,0.48209,177.15665,0.679,0.413,4,0.937,2016,14,0.722,0.548,0.0333,0.686,0.0,0.309,0.411,182445,60.0, Poland
172.0,11,-3.011,0,120.038,0.02,0.10562,167.82222,0.525,0.58,4,1.0,2016,7,0.791,0.911,0.0373,0.0718,0.0,0.332,0.73,172000,177.0, Belarus
182.5,9,-4.764,0,192.041,0.02,0.34454,178.39311,0.425,0.454,4,0.712,2016,8,0.329,0.731,0.0448,0.264,0.0,0.321,0.392,182500,30.0, Ukraine
182.8473,10,-6.536,1,139.923,0.05,2.57741,179.18259,0.675,0.547,4,0.966,2016,14,0.521,0.557,0.0291,0.337,0.0,0.122,0.253,182847,209.0, Italy
165.65565,8,-3.825,1,122.027,0.02,0.0,158.78384,0.407,0.294,4,1.0,2016,8,0.782,0.835,0.0919,0.119,0.0,0.122,0.765,165656,14.0, Serbia
179.9853,1,-5.999,0,90.945,0.02,0.0,179.9853,0.606,0.564,4,1.0,2016,8,0.542,0.673,0.0296,0.202,0.0,0.231,0.28,179985,27.0, Israel
179.13538,2,-3.978,1,167.893,0.15,0.0,175.10748,0.613,0.433,4,1.0,2016,10,0.47,0.846,0.0516,0.112,0.0,0.219,0.358,179135,202.0, Australia
182.95084,6,-6.376,1,121.963,0.2,3.54685,174.6547,0.51,0.594,4,1.0,2016,8,0.759,0.692,0.0588,0.00753,0.00152,0.0301,0.574,182951,174.0, Netherlands
180.75201,1,-6.744,0,131.956,0.02,0.0,173.4995,0.244,0.486,4,1.0,2016,7,0.701,0.903,0.0373,0.00234,0.00475,0.0322,0.736,180752,27.0, Cyprus
181.74525,10,-6.991,1,85.915,0.04,2.86186,176.55873,0.526,0.451,3,0.697,2016,13,0.256,0.28,0.0313,0.615,0.0,0.188,0.259,181745,239.0, Georgia
175.50667,5,-4.531,1,144.989,0.13,0.09859,169.51727,0.406,0.405,4,1.0,2003,21,0.733,0.911,0.0366,0.0407,0.0,0.0839,0.834,175507,134.0, Croatia
186.34666,3,-5.725,1,125.047,0.13,0.21442,178.36407,0.366,0.43,4,1.0,2003,21,0.714,0.974,0.0877,0.0443,0.0472,0.313,0.517,186347,37.0, Latvia
369.5292,7,-6.737,1,127.016,0.17,0.0,361.49405,0.772,1.0,4,1.0,2020,20,0.735,0.737,0.042,0.0157,0.866,0.0805,0.218,369529,18.0, Norway
