duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
173.46613,6,-5.819,1,139.682,0.29,0.0,168.33305,0.678,0.742,4,0.439,2015,17,0.485,0.529,0.0292,0.205,0.0,0.0927,0.386,173466,35.0, Netherlands
244.2,10,-3.871,1,91.996,0.24,0.40685,240.97668,0.43,0.47,4,1.0,2015,13,0.537,0.833,0.031,0.0765,0.0,0.239,0.519,244200,64.0, Australia
179.0,11,-7.907,0,86.175,0.01,0.45274,173.83038,0.718,0.659,4,0.917,2015,6,0.224,0.442,0.0328,0.829,0.0,0.246,0.13,179000,36.0, Ireland
235.17332,11,-4.95,0,124.461,0.71,0.28526,230.8586,0.641,0.858,4,1.0,2007,48,0.67,0.909,0.067,0.0365,0.00407,0.11,0.544,235173,176.0, Armenia
183.70644,1,-6.677,0,127.904,0.12,2.50776,174.97977,0.456,0.4,4,1.0,2014,2,0.561,0.922,0.0589,0.0084,0.0,0.367,0.262,183706,69.0, Cyprus
180.90086,4,-7.1,1,124.901,0.46,0.0,174.43991,0.579,0.373,4,0.881,2014,6,0.622,0.567,0.031,0.779,0.0,0.134,0.329,180901,28.0, Sweden
179.31982,5,-4.045,1,104.949,0.03,0.0,171.6361,0.498,0.549,4,0.907,2016,8,0.587,0.763,0.0403,0.153,0.0,0.109,0.356,179320,122.0, Ireland
170.19383,11,-4.196,0,110.003,0.05,0.0,163.64262,0.614,0.62,4,1.0,2016,14,0.751,0.882,0.0621,0.0642,0.0,0.14,0.687,170194,232.0, Armenia
185.75693,5,-4.96,0,98.765,0.02,0.0,177.50494,0.861,0.783,4,1.0,2016,9,0.339,0.425,0.033,0.841,4.71e-05,0.118,0.364,185757,38.0, Albania
191.19206,9,-6.94,0,81.971,0.04,0.0,185.96281,0.53,0.469,4,1.0,2016,12,0.551,0.454,0.0287,0.26,0.0,0.136,0.265,191192,202.0, Russia
180.41728,9,-4.179,1,164.036,0.04,0.33061,175.64154,0.635,0.547,4,1.0,2016,11,0.554,0.82,0.0519,0.393,0.0,0.256,0.607,180417,161.0, Bulgaria
182.44495,7,-4.457,1,119.945,0.11,0.48209,177.15665,0.679,0.413,4,0.937,2016,14,0.722,0.548,0.0333,0.686,0.0,0.309,0.411,182445,60.0, Poland
182.5,9,-4.764,0,192.041,0.02,0.34454,178.39311,0.425,0.454,4,0.712,2016,8,0.329,0.731,0.0448,0.264,0.0,0.321,0.392,182500,30.0, Ukraine
165.65565,8,-3.825,1,122.027,0.02,0.0,158.78384,0.407,0.294,4,1.0,2016,8,0.782,0.835,0.0919,0.119,0.0,0.122,0.765,165656,14.0, Serbia
